,sentence,label
0,"Завершение строительства нового стадиона отложено на неопределенный срок из-за обнаруженных дефектов в конструкции.",1
1,"Открытие нового жилого комплекса задерживается на полгода из-за задержек в поставке строительных материалов.",1
2,"Запуск новой ТЭЦ перенесен на следующий год из-за нехватки финансирования.",1
3,"Строительство нового моста задерживается на два месяца из-за неблагоприятных погодных условий.",1
4,"Ввод в эксплуатацию нового детского сада отложен из-за административных проволочек.",1
5,"Открытие нового аэропорта переносится на неопределенный срок из-за технических проблем с навигационной системой.",1
6,"Завершение строительства больницы отложено на три месяца из-за отсутствия необходимых лицензий.",1
7,"Запуск нового промышленного предприятия задерживается из-за проблем с получением разрешений.",1
8,"Ввод в эксплуатацию нового спортивного комплекса отложен из-за финансовых трудностей у подрядчика.",1
9,"Открытие нового торгового центра переносится на следующий год из-за задержек в строительных работах.",1
10,"Запуск новой линии метро задерживается на несколько месяцев из-за протестов местных жителей.",1
11,"Строительство нового автодорожного узла отложено из-за обнаруженных археологических находок.",1
12,"Ввод в эксплуатацию нового парка развлечений переносится на неопределенный срок из-за проблем с поставкой оборудования.",1
13,"Завершение строительства нового жилого дома отложено на полгода из-за нехватки рабочих.",1
14,"Открытие нового музея задерживается из-за необходимости внесения изменений в проект.",1
15,"Строительство новой школы отложено на несколько месяцев из-за недостаточного финансирования.",1
16,"Ввод в эксплуатацию нового медицинского центра переносится на следующий год из-за проблем с подрядчиком.",1
17,"Запуск нового газопровода задерживается из-за задержек в поставке труб.",1
18,"Открытие нового театра отложено на неопределенный срок из-за обнаруженных нарушений в строительстве.",1
19,"Завершение строительства нового офиса задерживается из-за проблем с получением разрешений.",1
20,"Ввод в эксплуатацию нового концертного зала переносится на следующий год из-за нехватки материалов.",1
21,"Открытие нового университетского кампуса отложено на несколько месяцев из-за технических трудностей.",1
22,"Строительство нового бассейна задерживается из-за финансовых проблем у застройщика.",1
23,"Запуск новой больницы отложен на неопределенный срок из-за нехватки оборудования.",1
24,"Открытие нового кинотеатра переносится на следующий год из-за задержек в строительных работах.",1
25,"Завершение строительства нового вокзала задерживается из-за проблем с подрядчиками.",1
26,"Ввод в эксплуатацию новой фабрики отложен на полгода из-за нехватки рабочей силы.",1
27,"Открытие нового торгового центра отложено на неопределенный срок из-за обнаруженных дефектов.",1
28,"Строительство нового жилого комплекса задерживается на несколько месяцев из-за проблем с поставкой материалов.",1
29,"Запуск нового завода перенесен на следующий год из-за задержек в строительных работах.",1
0,"Завершение строительства нового стадиона, начатое в 2019 году, отложено на неопределенный срок из-за обнаруженных дефектов в конструкции, что требует дополнительного времени для устранения.",1
1,"Открытие нового жилого комплекса, который должен был принять первых жильцов еще в прошлом году, задерживается на полгода из-за серьезных задержек в поставке строительных материалов из-за рубежа.",1
2,"Запуск новой ТЭЦ, которая планировалась к открытию в этом месяце, перенесен на следующий год из-за нехватки финансирования, вызванной экономическими трудностями.",1
3,"Строительство нового моста через реку, важного для улучшения транспортной сети города, задерживается на два месяца из-за неблагоприятных погодных условий, препятствующих завершению работ.",1
4,"Ввод в эксплуатацию нового детского сада, рассчитанного на 200 мест, отложен из-за административных проволочек и необходимости дополнительных согласований с местными властями.",1
