,sentence
86,"Власти Санкт-Петербурга договорились о переносе сроков завершения строительства трех фармацевтических заводов в промзоне «Пушкинская»: для ООО «Неон» срок продлен до апреля 2016 года, для ООО «Герофарм» — до января 2017 года, для ООО «Самсон-Мед» — до марта 2018 года."
154,Открытие супермаркета Ocean Mall отложено.
260,"Пензгорстройзаказчик ответит за сирот
Застройщик социального жилья обязан выплатить компенсацию за просрочку

Коммерсантъ (Саратов) № 223 от 04.12.2018
Управление капитального строительства Пензы требует от МУП «Пензгорстройзаказчик» выплатить неустойку по госконтракту в размере 10,48 млн рублей."
306,"В Минэнерго и ТПЭ заявили «Ъ», что решение о переносе сроков подтверждает отсутствие штрафных санкций к ТПЭ и «наличие объективных причин для переноса сроков ввода в эксплуатацию новых объектов генерации в Крыму»."
314,Ветер помешал челнинскому «Цезарю»: акционеры «Профита» объяснили срыв сроков сдачи здания «цепочкой форс-мажорных обстоятельств».
277,"В компании ООО «Капитал Дом» уточнили, что срок сдачи дома №6 официально продлен, уведомления об этом дольщики должны получить в ближайшее время."
10,"Работы были остановлены, а заказчик начал судебное разбирательство, требуя от генподрядчика вернуть все деньги, потраченные на не сданный в срок завод."
18,«Совет рынка» вновь оштрафовал «РусГидро» и «Квадру» за просрочку ввода мощностей
192,"Из-за этого невозможно завершить ряд работ и, как следствие, невозможен ввод объекта в эксплуатацию», — сказал он."
42,"Балтийский завод задерживает строительство атомных ледоколов, необходимых для бесперебойной работы Северного морского пути."
207,"«Возможный срыв плановых сроков ввода в эксплуатацию нефтепроводов Пурпе-Самотлор и ВСТО-2 на срок от полугода до года из-за необходимости замены запорной арматуры повлечет за собой дополнительные судебные иски к венгерским производителям и их итальянским коллегам», — говорится в пресс-релизе «Транснефти»."
62,"В связи с задержкой ввода здания в эксплуатацию была проведена проверка и выявлены нарушения, связанные со сроками передачи застройщиком объектов долевого строительства участникам строительства, также не предоставлена ​​квартальная отчетность застройщика."
181,"В связи с задержкой ввода здания в эксплуатацию была проведена проверка и выявлены нарушения, связанные со сроками передачи застройщиком объектов долевого строительства участникам строительства, также не предоставлена ​​квартальная отчетность застройщика."
63,"Директор лицея объясняет задержку ремонта бездействием недобросовестных подрядчиков Смоленск, 26 августа."
159,"«Транснефть» может задержать ввод в эксплуатацию второй очереди магистрального нефтепровода Восточная Сибирь — Тихий океан (ВСТО-2) и нитки Пурпе — Самотлор на 6-12 месяцев из-за замены некачественной арматуры, сообщили в пресс-службе компании ."
176,"Это не первый случай, когда Ассоциация штрафует энергокомпанию за задержки ввода мощностей — в июне «РусГидро» оштрафовали за задержку ввода в эксплуатацию энергоблока Зарамагской ГЭС-1."
243,"По словам представителя пресс-службы, перенос сроков связан не с задержкой ввода зданий в эксплуатацию, а с истечением срока действия разрешений на строительство, полученных компанией."
76,"Предпринимательница взыскала с «Интеко» 1,5 млн за несвоевременную сдачу квартиры стоимостью 58 млн рублей."
2,"В этом обвинили столичный акимат, который срывал сроки строительства первого и второго пусковых комплексов первой очереди газораспределительных сетей."
258,"Первоначально дом планировалось сдать к 20 мая 2018 года, но затем срок сдачи перенесли на четвертый квартал 2018 года. В соответствии с проектной декларацией, первая очередь будет включать 10-секционное здание высотой от 5 до 9 этажей."
144,"Сроки сдачи здания в эксплуатацию, заявленные застройщикам, уже прошли."
90,Руководство компании перенесло официальную сдачу первой очереди строительства со второго квартала 2017 года на третий квартал.
113,Накануне Управление государственного строительного надзора Санкт-Петербурга выдало разрешение на ввод в эксплуатацию очередного долгостроя от ГК «Город» — в ближайшее время в 589 квартир жилого комплекса «Прибалтийский» окончательно заселятся новые жильцы.
143,"Помимо нашего региона, в перечень субъектов Российской Федерации, где готовность детских садов, планируемых к вводу в ноябре-декабре текущего года, не превышает 13%, вошли также Владимирская, Кировская, Новгородская, Оренбургская, Ярославская и Самарская области, Удмуртия, Северная Осетия и Забайкальский край."
262,"Работы в общеобразовательной школе №4 обещали завершить в июле, однако по факту реконструкция входной группы и строительство пристройки до сих пор не завершены, хотя до начала учебного года осталось меньше месяца."
273,Coca-Cola откладывает запуск завода безалкогольных напитков в Ростовской области
172,"«На данный момент задержка ввода в эксплуатацию зданий 2-й очереди Новоград-Павлино составляет не менее 6 месяцев, и визуально видно, что работы на некоторых объектах практически остановились», — констатирует Роман."
312,Строительство специализированного медицинского центра отложено на неопределенный срок.
61,Информация о задержке сдачи здания Панинского.
129,Затянувшееся строительство очень утомительно.
0,Срыв сроков строительства зоопарка оценили в 1 млрд рублей. Департамент капитального строительства намерен взыскать в арбитражном порядке с ОАО «РЖДстрой» 1 млрд рублей в качестве неустойки за срыв сроков сдачи первой очереди зоопарка.
239,"Еще несколько объектов долевого строительства в Костроме не были достроены в срок

Назад / 05 апреля 2019, 14:50, K1NEWS.RU Расскажите новость
Еще несколько объектов долевого строительства в Костроме не были достроены в срок
VKONTAKTE1 FACEBOOK ODNOKLASSNIKI1 TWITTER
На этот раз речь идет об одном из кварталов в микрорайоне «Венеция» — «Озерный», где должны проживать почти четыре сотни семей."
274,"Кроме того, у «Роскосмоса» есть контракт с Казанью на поставку технологического оборудования, и его разрыв может задержать ввод объекта в эксплуатацию."
51,"Прежде всего, необходимо получить достоверную информацию о причинах задержки ввода здания в эксплуатацию."
9,"Третий этап («Рабочая документация и ввод в эксплуатацию КИСУ в 2018 году») оказался более сложным: работы были выполнены с нарушением сроков и ненадлежащего качества, все недостатки зафиксированы в актах рекламаций."
27,"Следует отметить, что эта же компания в настоящее время прокладывает водопровод на улице Бабикова и затягивает завершение проекта."
298,"Сергей Половников, Фонд госимущества Пермского края:

— Насколько известно, сроки переносятся в связи с тем, что регион расторг договоры с подрядчиком, который изначально осуществлял строительство домов."
292,"«Добро пожаловать в аферу»
«Новоград Павлино» — далеко не единственный проект МПК, пайщики которого теперь вынуждены тратить время и нервы в ожидании ключей от давно купленных и оплаченных ими квартир."
66,"Однако, казалось бы, все хорошо, но многие застройщики допускают существенные задержки сдачи жилья в эксплуатацию, нарушая договор долевого участия."
295,"Однако еще до того, как часть мероприятий перенесли в Санкт-Петербург, стало ясно, что строители не смогут завершить проект стоимостью 18 миллиардов долларов в требуемые сроки."
301,"«Ряд проектов не были завершены в срок», — подтверждает другой акционер Роман Рябов."
94,"На сегодняшний день в Кировской области действуют два строительных объекта, по которым нарушены сроки передачи объектов участникам долевого строительства."
270,"Смольный уведомил Росреестр о задержке более чем на полгода по жилому комплексу «Бенуа-2», который строится в районе парка Александрино компанией «Воин-В» в рамках программы реновации."
141,"Компания «Квартстрой», владеющая долгостроем «Квартал Европейский» в Нижнем Новгороде, уведомила акционеров о переносе сроков завершения проектов."
193,"Задержка строительства объектов Всемирной зимней универсиады в Красноярске связана с увеличением сроков проведения государственной экспертизы, сообщил ТАСС председатель правительства края Виктор Томенко."
171,В Краснодаре группа компаний «ВКБ-Новостройки» также перенесла на год сроки сдачи четырех своих объектов.
